Name,CountryCode
Saint Kitts and Nevis,659
Saint Lucia,662
Saint Martin (French part),663
Saint Pierre and Miquelon,666
Saint Vincent and the Grenadines,670
Samoa,882
San Marino,674
Sao Tome and Principe,678
Saudi Arabia,682
Senegal,686
Serbia,688
Seychelles,690
Sierra Leone,694
Singapore,702
Sint Maarten (Dutch part),534
Slovakia,703
Slovenia,705
Solomon Islands,90
Somalia,706
South Africa,710
South Georgia and the South Sandwich Islands,239
South Sudan,728
Spain,724
Sri Lanka,144
Sudan,729
Suriname,740
Svalbard and Jan Mayen,744
Sweden,752
Switzerland,756
Syrian Arab Republic,760
"Taiwan, Province of China",158
Tajikistan,762
"Tanzania, United Republic of",834
Thailand,764
Timor-Leste,626
Togo,768
Tokelau,772
Tonga,776
Trinidad and Tobago,780
Tunisia,788
Turkey,792
Turkmenistan,795
Turks and Caicos Islands,796
Tuvalu,798
Uganda,800
Ukraine,804
United Arab Emirates,784
United Kingdom of Great Britain and Northern Ireland,826
United States of America,840
United States Minor Outlying Islands,581
Uruguay,858
Uzbekistan,860
Vanuatu,548
Venezuela (Bolivarian Republic of),862
Viet Nam,704
Virgin Islands (British),92
Virgin Islands (U.S.),850
Wallis and Futuna,876
Western Sahara,732
Yemen,887
Zambia,894
Zimbabwe,716